playerid,playername,UnifiedPlayerID
1626168,TreyLyles,242
1713,VinceCarter,243
2216,ZachRandolph,244
2440,MattBarnes,245
2754,TonyAllen,246
200797,RyanHollins,247
201144,MikeConley,248
201145,JeffGreen,249
201188,MarcGasol,250
201584,CourtneyLee,251
201596,MarioChalmers,252
203210,JaMychalGreen,253
203919,JordanAdams,254
1626145,TyusJones,255
203476,GorguiDieng,256
203897,ZachLaVine,257
201937,RickyRubio,258
2419,TayshaunPrince,259
203498,ShabazzMuhammad,260
708,KevinGarnett,261
203952,AndrewWiggins,262
2755,KevinMartin,263
1889,AndreMiller,264
1626157,Karl-AnthonyTowns,265
203940,AdreianPayne,266
202357,NemanjaBjelica,267
201564,O.J.Mayo,268
203487,MichaelCarter-Williams,269
203142,ChrisCopeland,270
203898,TylerEnnis,271
203953,JabariParker,272
202328,GregMonroe,273
203101,MilesPlumlee,274
201573,JerrydBayless,275
1626173,RashadVaughn,276
203114,KhrisMiddleton,277
203089,JohnHenson,278
203507,GiannisAntetokounmpo,279
203948,JohnnyO'Bryant,280
1626147,JustinAnderson,281
201967,DanteCunningham,282
202087,AlonzoGee,283
201569,EricGordon,284
202337,LukeBabbitt,285
202708,NorrisCole,286
201962,ToneyDouglas,287
201582,AlexisAjinca,288
201583,RyanAnderson,289
201936,TyrekeEvans,290
201950,JrueHoliday,291
203076,AnthonyDavis,292
201600,OmerAsik,293
2570,KendrickPerkins,294
2555,NickCollison,295
201142,KevinDurant,296
201566,RussellWestbrook,297
201571,D.J.Augustin,298
201586,SergeIbaka,299
201627,AnthonyMorrow,300
202683,EnesKanter,301
202713,KyleSingler,302
203079,DionWaiters,303
203460,AndreRoberson,304
203500,StevenAdams,305
203956,MitchMcGary,306
1626166,CameronPayne,307
201567,KevinLove,308
2592,JamesJones,309
202681,KyrieIrving,310
202697,ImanShumpert,311
2747,J.R.Smith,312
203521,MatthewDellavedova,313
203099,JaredCunningham,314
202684,TristanThompson,315
2760,AndersonVarejao,316
202389,TimofeyMozgov,317
2544,LeBronJames,318
2210,RichardJefferson,319
2590,MoWilliams,320
202362,LanceStephenson,321
101108,ChrisPaul,322
200755,JJRedick,323
2746,JoshSmith,324
201599,DeAndreJordan,325
203143,PabloPrigioni,326
2037,JamalCrawford,327
201601,LucMbah a Moute,328
1626183,BrandenDawson,329
